graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,feat_feature_05,feat_feature_06,X,Y,Z
0,0,0,True,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,939.896302,-1853.130554,750.0
0,1,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,896.710206,-690.934753,300.0
0,2,0,True,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,274.67928,-321.447921,150.0
0,3,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1073.946808,-506.724731,-151.0
0,4,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.946808,-506.724732,-1.0
0,5,0,True,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,815.362335,-1209.48291,150.0
0,6,0,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,701.842934,-1074.386461,-1.0
0,7,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.617649,-203.307392,-151.0
0,8,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.617649,-203.307392,-1.0
0,9,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.461807,-1965.180604,450.0
0,10,0,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,861.416046,-103.950081,300.0
0,11,0,True,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,266.957577,-315.409021,750.0
0,12,0,True,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,815.362335,-1209.48291,450.0
0,13,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.710206,-690.934754,-151.0
0,14,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,567.850585,-1171.131409,300.0
0,15,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278.461807,-1965.180604,150.0
0,16,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,330.163624,-1875.944347,-151.0
0,17,0,True,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,275.691187,-1873.078309,150.0
0,18,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.163624,-1875.944347,-1.0
0,19,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.617649,-203.307392,150.0
0,20,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.461807,-1965.180603,-1.0
0,21,0,True,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,157.410336,-909.164978,450.0
0,22,0,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1218.257324,-1314.421509,300.0
0,23,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.67928,-321.447921,-1.0
0,24,0,True,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,157.410335,-909.164978,150.0
0,25,0,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1082.043238,-620.498526,300.0
0,26,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,274.67928,-321.447921,-151.0
0,27,0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.710205,-690.934753,-1.0
0,28,0,False,True,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,939.896301,-1853.130554,150.0
0,29,0,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,275.691187,-1873.078309,450.0
0,30,0,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,530.637634,-772.668884,150.0
0,31,0,False,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,265.924496,-1369.494263,300.0
0,32,0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.617649,-203.307392,450.0
0,33,0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.461807,-1965.180604,-151.0
0,34,0,False,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,274.67928,-321.447921,450.0
0,35,0,False,False,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,939.896302,-1853.130554,450.0
