graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,9,10,0,True,False,False
0,10,9,0,True,False,False
0,33,10,0,True,False,False
0,10,33,0,True,False,False
0,15,3,0,True,False,False
0,3,15,0,True,False,False
0,3,1,0,True,False,False
0,1,3,0,True,False,False
0,25,9,0,True,False,False
0,9,25,0,True,False,False
0,33,9,0,True,False,False
0,9,33,0,True,False,False
0,18,14,0,True,False,False
0,14,18,0,True,False,False
0,25,18,0,True,False,False
0,18,25,0,True,False,False
0,18,20,0,True,False,False
0,20,18,0,True,False,False
0,18,4,0,True,False,False
0,4,18,0,True,False,False
0,27,24,0,True,False,False
0,24,27,0,True,False,False
0,20,27,0,True,False,False
0,27,20,0,True,False,False
0,4,27,0,True,False,False
0,27,4,0,True,False,False
0,30,24,0,True,False,False
0,24,30,0,True,False,False
0,4,30,0,True,False,False
0,30,4,0,True,False,False
0,30,16,0,True,False,False
0,16,30,0,True,False,False
0,14,17,0,True,False,False
0,17,14,0,True,False,False
0,20,17,0,True,False,False
0,17,20,0,True,False,False
0,5,2,0,True,False,False
0,2,5,0,True,False,False
0,31,2,0,True,False,False
0,2,31,0,True,False,False
0,0,11,0,True,False,False
0,11,0,0,True,False,False
0,22,11,0,True,False,False
0,11,22,0,True,False,False
0,7,0,0,True,False,False
0,0,7,0,True,False,False
0,31,0,0,True,False,False
0,0,31,0,True,False,False
0,7,22,0,True,False,False
0,22,7,0,True,False,False
0,24,16,0,True,False,False
0,16,24,0,True,False,False
0,29,32,0,True,False,False
0,32,29,0,True,False,False
0,25,29,0,True,False,False
0,29,25,0,True,False,False
0,23,29,0,True,False,False
0,29,23,0,True,False,False
0,25,6,0,True,False,False
0,6,25,0,True,False,False
0,35,32,0,True,False,False
0,32,35,0,True,False,False
0,26,7,0,True,False,False
0,7,26,0,True,False,False
0,26,5,0,True,False,False
0,5,26,0,True,False,False
0,25,26,0,True,False,False
0,26,25,0,True,False,False
0,26,31,0,True,False,False
0,31,26,0,True,False,False
0,25,15,0,True,False,False
0,15,25,0,True,False,False
0,25,34,0,True,False,False
0,34,25,0,True,False,False
0,25,12,0,True,False,False
0,12,25,0,True,False,False
0,25,35,0,False,True,False
0,35,25,0,False,True,False
0,25,33,0,False,True,False
0,33,25,0,False,True,False
0,25,19,0,False,True,False
0,19,25,0,False,True,False
0,25,23,0,False,True,False
0,23,25,0,False,True,False
0,25,8,0,False,False,True
0,8,25,0,False,False,True
0,23,13,0,False,False,True
0,13,23,0,False,False,True
0,23,35,0,False,False,True
0,35,23,0,False,False,True
0,12,21,0,False,False,True
0,21,12,0,False,False,True
0,13,28,0,False,False,True
0,28,13,0,False,False,True
0,35,28,0,False,False,True
0,28,35,0,False,False,True
